path,persona,domain,source_status,test_status,browser_status,production_status,capabilities,registrations
/,public_visitor,corporate_site,mounted,unknown,unknown,unknown,,client/src/App.tsx:154
/about,public_visitor,corporate_site,mounted,unknown,unknown,unknown,,client/src/App.tsx:165
/admin,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/App.tsx:181
/admin/research,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/App.tsx:183 | client/src/research/adminx-section.tsx:140
/admin/research/*,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/App.tsx:184
/admin/research/activation-bridge,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:177
/admin/research/activation-checklist,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:178
/admin/research/activation-queue,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:176
/admin/research/activation-readiness,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:180
/admin/research/activation-reconciliation,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:179
/admin/research/applications,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:143
/admin/research/applications/:id,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:144
/admin/research/assisted-orders,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:160
/admin/research/assisted-orders/:requestId,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:161
/admin/research/audit,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:185
/admin/research/blueprint-review,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:149
/admin/research/capabilities,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:174
/admin/research/care-requests,founder_care_operations,operations,mounted,focused_tests_pass,unknown,deployed_not_authenticated_smoked,care_admin_queue,client/src/research/adminx-section.tsx:141
/admin/research/commerce-queues,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:165
/admin/research/early-access/fulfillment,founder_fulfillment_operations,operations,mounted,unknown,unknown,deployed_not_authenticated_smoked,fulfillment_tracking,client/src/research/adminx-section.tsx:184
/admin/research/early-access/payments,founder_finance_operations,operations,mounted,unknown,unknown,deployed_not_authenticated_smoked,payment_review,client/src/research/adminx-section.tsx:183
/admin/research/early-access/releases,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:182
/admin/research/esign,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:181
/admin/research/fulfillment,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:164
/admin/research/guides,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:168
/admin/research/guides/:id,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:169
/admin/research/inventory,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:157
/admin/research/inventory/coas,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:156
/admin/research/inventory/lots,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:155
/admin/research/members,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:145
/admin/research/members/:id,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:146
/admin/research/orders,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:162
/admin/research/orders/:id,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:163
/admin/research/partners,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:170
/admin/research/partners/:id,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:171
/admin/research/plans,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:147
/admin/research/plans/:id,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:148
/admin/research/privacy,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:173
/admin/research/product-configuration,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:152
/admin/research/product-requests,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:153
/admin/research/product-requests/:id,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:154
/admin/research/products,founder_product_operations,operations,mounted,unknown,unknown,deployed_not_authenticated_smoked,product_control,client/src/research/adminx-section.tsx:150
/admin/research/products/:id,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:151
/admin/research/questions,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:166
/admin/research/questions/:id,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:167
/admin/research/referral-lifecycle,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:142
/admin/research/required-inputs,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:175
/admin/research/security,founder_admin_operations,operations,mounted,unknown,unknown,unknown,,client/src/research/adminx-section.tsx:172
/agents,public_visitor,corporate_site,mounted,unknown,unknown,unknown,,client/src/App.tsx:205
/argos,public_visitor,corporate_site,mounted,unknown,unknown,unknown,,client/src/App.tsx:202
/book,public_visitor,corporate_site,mounted,unknown,unknown,unknown,,client/src/App.tsx:179
/care,care_requester,care,mounted,focused_tests_pass,unknown,live_verified,care_manual_access,client/src/App.tsx:197
/care/*,care_requester,care,mounted,unknown,unknown,unknown,,client/src/App.tsx:198
