"evidence","url","observedAt","role","label","destination","disabled","exerciseStatus"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Skip to content","""#site-main""","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Join","/waitlist","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","button","Dismiss announcement","","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","xenios","/","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Sign in","/research/sign-in","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Get access","/research/access-hub#account-access","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","button","Open full site menu","","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Request Early Access","/waitlist","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","See How It Works","/how-it-works","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Continue","/research/sign-in","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Continue","/research/activate","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Continue","/research/order","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Continue","/care/schedule","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Continue","/research/partners","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Continue","/research/organizations","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Continue","/research/supplier-access","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","View Product","/product","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Apply for Early Access","/waitlist","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","See How It Works","/how-it-works","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","team@xeniostechnology.com","mailto:team@xeniostechnology.com","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Instagram, @officialxenios","https://www.instagram.com/officialxenios/","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","LinkedIn, /company/officialxenios","https://www.linkedin.com/company/officialxenios","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Product","/product","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","How It Works","/how-it-works","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","For Coaches","/for-coaches","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","For Clients","/for-clients","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Storefront","/storefront","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Network","/network","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","Ecosystem","/ecosystem","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
"candidate-home-mobile.txt","http://127.0.0.1:5299/","2026-09-24T18:49:07.533Z","link","For Practitioners","/for-practitioners","false","OBSERVED; individual action NOT RUN unless listed in scenario matrix"
